"accession","target_name","tlen","query_name","query_accession","qlen","E.value","score...8","bias...9","X.","of","c.Evalue","i.Evalue","score...14","bias...15","hmm_from","hmm_to","ali_from","ali_to","env_from","env_to","acc","description","query_name_clean","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name","origin"
"PF07953","Toxin_R_bind_N",195,"DTR_183901_12","-",333,0.061,13.2,0.7,2,2,0.00014,0.74,9.7,0.1,101,153,95,155,90,162,0.67,"Clostridium neurotoxin, N-terminal receptor binding","DTR_183901","IMG/M",12239,123,4,0,0,22,"Aquatic","Freshwater","Groundwater","NULL","non_viral_origin"
"PF07953","Toxin_R_bind_N",195,"DTR_183004_7","-",270,0.00088,19.2,0.1,1,1,5.5e-07,0.0029,17.6,0.1,96,165,73,150,19,165,0.78,"Clostridium neurotoxin, N-terminal receptor binding","DTR_183004","IMG/M",12156,118,2,0,0,26,"Engineered","Solid waste","Landfill","NULL","non_viral_origin"
"PF07953","Toxin_R_bind_N",195,"DTR_183486_4","-",446,0.034,14.1,2.8,1,2,9.8e-06,0.051,13.5,0.4,39,115,192,272,168,286,0.67,"Clostridium neurotoxin, N-terminal receptor binding","DTR_183486","IMG/M",11173,123,2,0,0,16,"Engineered","Solid waste","Landfill","NULL","non_viral_origin"
"PF07953","Toxin_R_bind_N",195,"DTR_889812_10","-",409,0.051,13.5,0.9,1,1,5.6e-05,0.59,10,0.9,41,154,187,293,164,302,0.65,"Clostridium neurotoxin, N-terminal receptor binding","DTR_889812","GOV2",11857,55,3,0,0,21,"Aquatic","Marine",NA,"NULL","non_viral_origin"
"PF07953","Toxin_R_bind_N",195,"DTR_892420_4","-",265,3.1e-06,27.2,0.7,1,1,8.6e-10,5.9e-06,26.3,0.3,51,162,38,139,23,178,0.75,"Clostridium neurotoxin, N-terminal receptor binding","DTR_892420","GOV2",11464,55,4,0,1,14,"Aquatic","Marine",NA,"NULL","non_viral_origin"
"PF09018","Phage_Capsid_P3",394,"DTR_295953_8","-",402,0.019,14,2.2,1,1,1.8e-06,0.037,13,2.2,145,209,160,224,153,235,0.91,"P3 major capsid protein","DTR_295953","IMG/M",18519,127,1,0,0,38,"Host_Associated","Plants","Rhizoplane","NULL","viral_origin"
"PF09018","Phage_Capsid_P3",394,"DTR_300199_1","-",67,0.018,14.1,0.1,1,1,9.8e-07,0.02,13.9,0.1,153,204,11,63,2,65,0.82,"P3 major capsid protein","DTR_300199","IMG/M",17122,127,7,0,0,25,"Aquatic","Freshwater","River","NULL","viral_origin"
"PF09092","Lyase_N",166,"DTR_833160_22","-",107,0.094,12.7,0,1,1,4.7e-06,0.099,12.7,0,6,80,8,83,3,104,0.78,"Lyase, N terminal","DTR_833160","HGM",16408,99,7,0,0,16,"Host_Associated","Human","Gut","GCA_003691915.1","non_viral_origin"
"PF09092","Lyase_N",166,"DTR_790829_24","-",107,0.094,12.7,0,1,1,4.7e-06,0.099,12.7,0,6,80,8,83,3,104,0.78,"Lyase, N terminal","DTR_790829","HGM",16768,99,7,0,0,18,"Host_Associated","Human","Gut","GCA_003691915.1","non_viral_origin"
"PF09092","Lyase_N",166,"DTR_559638_11","-",107,0.098,12.7,0,1,1,4.9e-06,0.1,12.6,0,6,80,8,83,3,104,0.78,"Lyase, N terminal","DTR_559638","MGnify",15871,127,7,0,0,19,"Host_Associated","Human","Gut","GCA_003691915.1","non_viral_origin"
"PF09092","Lyase_N",166,"DTR_415565_22","-",107,0.094,12.7,0,1,1,4.7e-06,0.099,12.7,0,6,80,8,83,3,104,0.78,"Lyase, N terminal","DTR_415565","CIBIO",16364,55,8,0,0,16,"Host_Associated","Human","Gut","GCA_003691915.1","non_viral_origin"
"PF09092","Lyase_N",166,"DTR_831713_9","-",107,0.094,12.7,0,1,1,4.7e-06,0.099,12.7,0,6,80,8,83,3,104,0.78,"Lyase, N terminal","DTR_831713","HGM",16408,99,7,0,0,16,"Host_Associated","Human","Gut","GCA_003691915.1","non_viral_origin"
"PF09092","Lyase_N",166,"DTR_188442_25","-",107,0.094,12.7,0,1,1,4.7e-06,0.099,12.7,0,6,80,8,83,3,104,0.78,"Lyase, N terminal","DTR_188442","IMG/M",16597,272,7,0,0,18,"Host_Associated","Human","Gut","GCA_003691915.1","non_viral_origin"
"PF09092","Lyase_N",166,"DTR_833096_2","-",107,0.094,12.7,0,1,1,4.7e-06,0.099,12.7,0,6,80,8,83,3,104,0.78,"Lyase, N terminal","DTR_833096","HGM",16402,93,7,0,0,16,"Host_Associated","Human","Gut","GCA_003691915.1","non_viral_origin"
"PF09101","Exotox-A_bind",274,"DTR_611857_4","-",66,0.11,12,0.2,1,1,5.7e-06,0.12,11.9,0.2,205,244,7,48,3,60,0.87,"Exotoxin A binding","DTR_611857","MGnify",18165,55,5,0,0,23,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF09101","Exotox-A_bind",274,"DTR_511018_2","-",208,0.09,12.3,0,1,1,2.1e-05,0.15,11.6,0,49,85,102,138,91,146,0.91,"Exotoxin A binding","DTR_511018","CIBIO",8536,29,4,0,0,13,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF09112","N-glycanase_N",176,"DTR_545312_2","-",186,0.0028,17.7,0.2,1,2,0.01,110,2.8,0,131,167,18,55,4,65,0.8,"Peptide-N-glycosidase F, N terminal","DTR_545312","CIBIO",12724,79,5,0,0,12,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF09112","N-glycanase_N",176,"DTR_545312_2","-",186,0.0028,17.7,0.2,2,2,6.5e-06,0.067,13.2,0.1,46,124,93,166,60,183,0.7,"Peptide-N-glycosidase F, N terminal","DTR_545312","CIBIO",12724,79,5,0,0,12,"Host_Associated","Human","Gut","NULL","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_432913_3","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_432913","CIBIO",17173,21,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_432913_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_432913","CIBIO",17173,21,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_517765_15","-",829,0.044,13.7,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_517765","CIBIO",17239,89,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_753283_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_753283","HGM",17205,53,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_516069_15","-",829,0.05,13.5,0.5,1,2,0.0031,13,5.7,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_516069","CIBIO",17194,51,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_516069_15","-",829,0.05,13.5,0.5,2,2,0.0053,22,5,0,10,42,267,296,256,330,0.75,"Peptide-N-glycosidase F, C terminal","DTR_516069","CIBIO",17194,51,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_449712_3","-",829,0.043,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_449712","CIBIO",17182,30,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_449712_3","-",829,0.043,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_449712","CIBIO",17182,30,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_778119_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_778119","HGM",17202,50,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_737425_3","-",829,0.057,13.4,0.6,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_737425","HGM",17218,66,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_846491_15","-",827,0.042,13.8,0.7,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_846491","HGM",17252,104,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_846491_15","-",827,0.042,13.8,0.7,2,2,0.01,30,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_846491","HGM",17252,104,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_809800_15","-",829,0.042,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_809800","HGM",17196,44,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_809800_15","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_809800","HGM",17196,44,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_533597_15","-",829,0.11,12.4,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_533597","CIBIO",17262,104,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_533597_15","-",829,0.11,12.4,0.7,2,2,0.021,86,3.1,0.1,11,42,268,296,256,330,0.74,"Peptide-N-glycosidase F, C terminal","DTR_533597","CIBIO",17262,104,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_443273_3","-",829,0.041,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_443273","CIBIO",17191,30,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_443273_3","-",829,0.041,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_443273","CIBIO",17191,30,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_815021_15","-",829,0.044,13.7,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_815021","HGM",17174,22,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_103718_3","-",829,0.042,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_103718","IMG/M",17254,99,3,0,0,14,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_103718_3","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_103718","IMG/M",17254,99,3,0,0,14,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_714445_3","-",829,0.042,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_714445","MGnify",17207,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_714445_3","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_714445","MGnify",17207,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_851373_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_851373","HGM",17214,62,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_851373_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_851373","HGM",17214,62,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_862930_15","-",829,0.042,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_862930","HGM",17196,44,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_862930_15","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_862930","HGM",17196,44,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_546157_3","-",827,0.042,13.8,0.7,2,2,0.0088,30,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_546157","CIBIO",17217,71,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_765786_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_765786","HGM",17250,89,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_765786_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_765786","HGM",17250,89,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_772781_15","-",829,0.042,13.8,0.7,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_772781","HGM",17227,75,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_772781_15","-",829,0.042,13.8,0.7,2,2,0.01,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_772781","HGM",17227,75,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_853317_15","-",827,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_853317","HGM",17194,46,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_853317_15","-",827,0.042,13.8,0.7,2,2,0.0088,30,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_853317","HGM",17194,46,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_838573_15","-",829,0.043,13.7,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_838573","HGM",17231,45,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_838573_15","-",829,0.043,13.7,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_838573","HGM",17231,45,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_797207_3","-",829,0.041,13.8,0.7,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_797207","HGM",17255,94,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_797207_3","-",829,0.041,13.8,0.7,2,2,0.01,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_797207","HGM",17255,94,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_468435_3","-",829,0.042,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_468435","CIBIO",17206,54,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_468435_3","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_468435","CIBIO",17206,54,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_777926_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_777926","HGM",17189,37,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_558690_3","-",829,0.055,13.4,0.6,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_558690","MGnify",17189,37,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_558690_3","-",829,0.055,13.4,0.6,2,2,0.014,41,4.1,0,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_558690","MGnify",17189,37,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_662889_3","-",829,0.041,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_662889","MGnify",17181,29,4,0,0,13,"Host_Associated","Mammals","Mouse","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_662889_3","-",829,0.041,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_662889","MGnify",17181,29,4,0,0,13,"Host_Associated","Mammals","Mouse","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_786946_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_786946","HGM",17241,89,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_834058_15","-",829,0.043,13.7,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_834058","HGM",17224,45,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_834058_15","-",829,0.043,13.7,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_834058","HGM",17224,45,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_544624_15","-",829,0.034,14.1,0.4,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_544624","CIBIO",17172,20,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_753861_3","-",829,0.045,13.7,0.8,1,2,0.0015,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_753861","HGM",17185,33,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_753861_3","-",829,0.045,13.7,0.8,2,2,0.0061,32,4.5,0.1,10,41,267,295,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_753861","HGM",17185,33,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_770757_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_770757","HGM",17216,64,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_682166_13","-",829,0.041,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_682166","MGnify",17229,77,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_682166_13","-",829,0.041,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_682166","MGnify",17229,77,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_752672_15","-",829,0.038,13.9,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_752672","HGM",17218,66,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_749646_15","-",829,0.043,13.7,0.7,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_749646","HGM",17223,73,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_749646_15","-",829,0.043,13.7,0.7,2,2,0.01,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_749646","HGM",17223,73,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_797722_3","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_797722","HGM",17207,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_888204_3","-",829,0.043,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_888204","HuVirDB",17279,127,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_888204_3","-",829,0.043,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_888204","HuVirDB",17279,127,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_432888_15","-",829,0.042,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_432888","CIBIO",17177,25,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_432888_15","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_432888","CIBIO",17177,25,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_791673_3","-",829,0.043,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_791673","HGM",17228,76,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_791673_3","-",829,0.043,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_791673","HGM",17228,76,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_860862_15","-",827,0.042,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_860862","HGM",17174,28,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_860862_15","-",827,0.042,13.8,0.7,2,2,0.0073,30,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_860862","HGM",17174,28,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_625419_3","-",829,0.043,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_625419","MGnify",17176,24,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_805554_3","-",829,0.042,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_805554","HGM",17252,99,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_805554_3","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_805554","HGM",17252,99,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_863245_15","-",829,0.042,13.8,0.6,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_863245","HGM",17176,24,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
