"X","accession","target_name","query_name_clean","description","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name","T_number","origin_genes","description_clean","classification","origin","functional_category"
113,"PF03367","zf-ZPR1","DTR_077758","ZPR1 zinc-finger domain","IMG/M",9157,123,0,0,0,13,"Aquatic","Marine","Coastal","NULL",3,"non_viral","zpr1 zinc finger domain","Unknown","Eukaryotic","Binding Protein"
114,"PF09113","N-glycanase_C","DTR_749515","Peptide-N-glycosidase F, C terminal","HGM",17175,23,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
115,"PF09113","N-glycanase_C","DTR_749515","Peptide-N-glycosidase F, C terminal","HGM",17175,23,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
116,"PF16903","Capsid_N","DTR_288704","Major capsid protein N-terminus","IMG/M",16213,127,3,0,0,18,"Aquatic","Freshwater","Lentic","NULL",4,"viral","major capsid protein n terminus","Viral","Viral","Capsid Protein"
117,"PF17991","Thioredoxin_10","DTR_602746","Thioredoxin like C-terminal domain","MGnify",16478,55,7,0,0,17,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
118,"PF17991","Thioredoxin_10","DTR_602746","Thioredoxin like C-terminal domain","MGnify",16478,55,7,0,0,17,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
119,"PF09113","N-glycanase_C","DTR_559813","Peptide-N-glycosidase F, C terminal","MGnify",17202,53,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
120,"PF09113","N-glycanase_C","DTR_559813","Peptide-N-glycosidase F, C terminal","MGnify",17202,53,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
121,"PF02956","TT_ORF1","DTR_051276","TT viral orf 1","IMG/M",5203,80,1,0,0,9,"Aquatic","Marine","Oceanic","NULL",1,"viral","tt viral orf 1","Viral","Viral","Other"
122,"PF18628","P2_N","DTR_037686","Viral coat protein P2 N-terminal domain","IMG/M",10209,60,4,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
123,"PF18628","P2_N","DTR_037686","Viral coat protein P2 N-terminal domain","IMG/M",10209,60,4,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
124,"PF07953","Toxin_R_bind_N","DTR_183004","Clostridium neurotoxin, N-terminal receptor binding","IMG/M",12156,118,2,0,0,26,"Engineered","Solid waste","Landfill","NULL",3,"viral","clostridium neurotoxin, n terminal receptor binding","Unknown","Prokaryotic","Binding Protein"
125,"PF09206","ArabFuran-catal","DTR_285287","Alpha-L-arabinofuranosidase B, catalytic","IMG/M",19383,99,10,1,1,17,"Aquatic","Marine","Intertidal zone","NULL",4,"viral","alpha l arabinofuranosidase b, catalytic","Unknown","Varies (Prok/Euk)","Enzyme"
126,"PF09113","N-glycanase_C","DTR_516069","Peptide-N-glycosidase F, C terminal","CIBIO",17194,51,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
127,"PF09113","N-glycanase_C","DTR_516069","Peptide-N-glycosidase F, C terminal","CIBIO",17194,51,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
128,"PF16903","Capsid_N","DTR_284039","Major capsid protein N-terminus","IMG/M",16213,127,3,0,0,20,"Aquatic","Freshwater","Lentic","NULL",4,"viral","major capsid protein n terminus","Viral","Viral","Capsid Protein"
129,"PF09113","N-glycanase_C","DTR_778119","Peptide-N-glycosidase F, C terminal","HGM",17202,50,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
130,"PF09113","N-glycanase_C","DTR_778119","Peptide-N-glycosidase F, C terminal","HGM",17202,50,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
131,"PF18573","BclA_C","DTR_892302","BclA C-terminal domain","GOV2",11575,55,4,0,1,16,"Aquatic","Marine",NA,"NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
132,"PF09113","N-glycanase_C","DTR_846491","Peptide-N-glycosidase F, C terminal","HGM",17252,104,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
133,"PF09113","N-glycanase_C","DTR_846491","Peptide-N-glycosidase F, C terminal","HGM",17252,104,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
134,"PF09101","Exotox-A_bind","DTR_611857","Exotoxin A binding","MGnify",18165,55,5,0,0,23,"Host-Associated","Human","Gut","NULL",4,"viral","exotoxin a binding","Unknown","Prokaryotic","Binding Protein"
135,"PF02336","Denso_VP4","DTR_636293","Capsid protein VP4","MGnify",17396,35,3,0,0,19,"Host-Associated","Human","Gut","GCA_001308795.2",4,"viral","capsid protein vp4","Viral","Viral","Capsid Protein"
136,"PF09113","N-glycanase_C","DTR_533597","Peptide-N-glycosidase F, C terminal","CIBIO",17262,104,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
137,"PF09113","N-glycanase_C","DTR_533597","Peptide-N-glycosidase F, C terminal","CIBIO",17262,104,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
138,"PF09113","N-glycanase_C","DTR_443273","Peptide-N-glycosidase F, C terminal","CIBIO",17191,30,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
139,"PF09113","N-glycanase_C","DTR_443273","Peptide-N-glycosidase F, C terminal","CIBIO",17191,30,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
140,"PF18573","BclA_C","DTR_027076","BclA C-terminal domain","IMG/M",11949,25,2,0,0,14,"Engineered","Wastewater","Industrial wastewater","NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
141,"PF14099","Polysacc_lyase","DTR_317920","Polysaccharide lyase","IMG/M",15056,127,6,0,0,13,"Aquatic","Freshwater","Lentic","NULL",4,"viral","polysaccharide lyase","Unknown","Varies (Prok/Euk)","Enzyme"
142,"PF14099","Polysacc_lyase","DTR_317920","Polysaccharide lyase","IMG/M",15056,127,6,0,0,13,"Aquatic","Freshwater","Lentic","NULL",4,"viral","polysaccharide lyase","Unknown","Varies (Prok/Euk)","Enzyme"
143,"PF18628","P2_N","DTR_265559","Viral coat protein P2 N-terminal domain","IMG/M",10276,127,4,0,0,19,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
144,"PF18628","P2_N","DTR_265559","Viral coat protein P2 N-terminal domain","IMG/M",10276,127,4,0,0,19,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
145,"PF13157","Enas","DTR_316927","Endospore appendages","IMG/M",4351,127,1,0,0,9,"Aquatic","Freshwater","Lentic","NULL",1,"viral","endospore appendages","Unknown","Prokaryotic","Structural Protein"
146,"PF13157","Enas","DTR_316927","Endospore appendages","IMG/M",4351,127,1,0,0,9,"Aquatic","Freshwater","Lentic","NULL",1,"viral","endospore appendages","Unknown","Prokaryotic","Structural Protein"
147,"PF05737","Collagen_bind","DTR_474063","Collagen binding domain","CIBIO",12297,55,4,1,0,17,"Host-Associated","Human","Gut","NULL",3,"viral","collagen binding domain","Unknown","Varies (Prok/Euk)","Binding Protein"
148,"PF09113","N-glycanase_C","DTR_546157","Peptide-N-glycosidase F, C terminal","CIBIO",17217,71,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
149,"PF09113","N-glycanase_C","DTR_546157","Peptide-N-glycosidase F, C terminal","CIBIO",17217,71,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
150,"PF09113","N-glycanase_C","DTR_765786","Peptide-N-glycosidase F, C terminal","HGM",17250,89,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
151,"PF09113","N-glycanase_C","DTR_765786","Peptide-N-glycosidase F, C terminal","HGM",17250,89,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
152,"PF09113","N-glycanase_C","DTR_856245","Peptide-N-glycosidase F, C terminal","HGM",17221,69,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
153,"PF09113","N-glycanase_C","DTR_856245","Peptide-N-glycosidase F, C terminal","HGM",17221,69,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
154,"PF13157","Enas","DTR_313719","Endospore appendages","IMG/M",4351,127,1,0,0,8,"Aquatic","Freshwater","Lentic","NULL",1,"viral","endospore appendages","Unknown","Prokaryotic","Structural Protein"
155,"PF13157","Enas","DTR_313719","Endospore appendages","IMG/M",4351,127,1,0,0,8,"Aquatic","Freshwater","Lentic","NULL",1,"viral","endospore appendages","Unknown","Prokaryotic","Structural Protein"
156,"PF18666","CBM64","DTR_530635","Carbohydrate-binding module 64","CIBIO",9805,36,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
157,"PF18666","CBM64","DTR_530635","Carbohydrate-binding module 64","CIBIO",9805,36,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
158,"PF18666","CBM64","DTR_530635","Carbohydrate-binding module 64","CIBIO",9805,36,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
159,"PF18573","BclA_C","DTR_718226","BclA C-terminal domain","MGnify",18541,55,4,0,0,16,NA,NA,NA,"NULL",4,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
160,"PF09113","N-glycanase_C","DTR_468435","Peptide-N-glycosidase F, C terminal","CIBIO",17206,54,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
161,"PF09113","N-glycanase_C","DTR_468435","Peptide-N-glycosidase F, C terminal","CIBIO",17206,54,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
162,"PF18573","BclA_C","DTR_065948","BclA C-terminal domain","IMG/M",12242,123,3,1,0,20,"Aquatic","Marine","Oceanic","NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
163,"PF18573","BclA_C","DTR_065948","BclA C-terminal domain","IMG/M",12242,123,3,1,0,20,"Aquatic","Marine","Oceanic","NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
164,"PF18666","CBM64","DTR_743367","Carbohydrate-binding module 64","HGM",9799,31,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
165,"PF18666","CBM64","DTR_743367","Carbohydrate-binding module 64","HGM",9799,31,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
166,"PF18666","CBM64","DTR_743367","Carbohydrate-binding module 64","HGM",9799,31,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
167,"PF09113","N-glycanase_C","DTR_786946","Peptide-N-glycosidase F, C terminal","HGM",17241,89,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
168,"PF09113","N-glycanase_C","DTR_786946","Peptide-N-glycosidase F, C terminal","HGM",17241,89,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
169,"PF09113","N-glycanase_C","DTR_544624","Peptide-N-glycosidase F, C terminal","CIBIO",17172,20,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
170,"PF09113","N-glycanase_C","DTR_544624","Peptide-N-glycosidase F, C terminal","CIBIO",17172,20,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
171,"PF09113","N-glycanase_C","DTR_753861","Peptide-N-glycosidase F, C terminal","HGM",17185,33,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
172,"PF09113","N-glycanase_C","DTR_753861","Peptide-N-glycosidase F, C terminal","HGM",17185,33,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
173,"PF13157","Enas","DTR_284171","Endospore appendages","IMG/M",9122,96,1,0,0,11,"Aquatic","Marine","Coastal","NULL",3,"viral","endospore appendages","Unknown","Prokaryotic","Structural Protein"
174,"PF18628","P2_N","DTR_037154","Viral coat protein P2 N-terminal domain","IMG/M",10188,59,3,0,0,19,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
175,"PF18628","P2_N","DTR_037154","Viral coat protein P2 N-terminal domain","IMG/M",10188,59,3,0,0,19,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
176,"PF15414","DUF4621","DTR_405812","Protein of unknown function (DUF4621)","CIBIO",15937,55,9,0,0,17,"Host-Associated","Human","Oral","NULL",4,"viral","protein of unknown function \(duf4621\)","Unknown","Unknown","Unknown"
177,"PF18666","CBM64","DTR_530068","Carbohydrate-binding module 64","CIBIO",10376,60,3,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
178,"PF18666","CBM64","DTR_530068","Carbohydrate-binding module 64","CIBIO",10376,60,3,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
179,"PF18666","CBM64","DTR_530068","Carbohydrate-binding module 64","CIBIO",10376,60,3,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
180,"PF09113","N-glycanase_C","DTR_888204","Peptide-N-glycosidase F, C terminal","HuVirDB",17279,127,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
181,"PF09113","N-glycanase_C","DTR_888204","Peptide-N-glycosidase F, C terminal","HuVirDB",17279,127,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
182,"PF18573","BclA_C","DTR_351934","BclA C-terminal domain","IMG/M",15355,127,4,0,0,19,"Terrestrial","Soil",NA,"NULL",4,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
183,"PF03014","SP2","DTR_087117","Structural protein 2 nucleoplasmin-like domain","IMG/M",11250,123,0,0,1,14,"Aquatic","Marine","Coastal","NULL",3,"non_viral","structural protein 2 nucleoplasmin like domain","Unknown","Unknown","Structural Protein"
184,"PF09113","N-glycanase_C","DTR_595517","Peptide-N-glycosidase F, C terminal","MGnify",17202,50,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
185,"PF09113","N-glycanase_C","DTR_595517","Peptide-N-glycosidase F, C terminal","MGnify",17202,50,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
186,"PF09113","N-glycanase_C","DTR_860862","Peptide-N-glycosidase F, C terminal","HGM",17174,28,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
187,"PF09113","N-glycanase_C","DTR_860862","Peptide-N-glycosidase F, C terminal","HGM",17174,28,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
188,"PF18573","BclA_C","DTR_892297","BclA C-terminal domain","GOV2",12593,55,3,0,0,21,"Aquatic","Marine",NA,"NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
189,"PF18573","BclA_C","DTR_892297","BclA C-terminal domain","GOV2",12593,55,3,0,0,21,"Aquatic","Marine",NA,"NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
190,"PF18573","BclA_C","DTR_892297","BclA C-terminal domain","GOV2",12593,55,3,0,0,21,"Aquatic","Marine",NA,"NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
191,"PF18573","BclA_C","DTR_892297","BclA C-terminal domain","GOV2",12593,55,3,0,0,21,"Aquatic","Marine",NA,"NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
192,"PF09113","N-glycanase_C","DTR_751348","Peptide-N-glycosidase F, C terminal","HGM",17183,22,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
193,"PF09113","N-glycanase_C","DTR_751348","Peptide-N-glycosidase F, C terminal","HGM",17183,22,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
194,"PF09113","N-glycanase_C","DTR_550119","Peptide-N-glycosidase F, C terminal","CIBIO",17210,58,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
195,"PF09113","N-glycanase_C","DTR_550119","Peptide-N-glycosidase F, C terminal","CIBIO",17210,58,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
196,"PF13157","Enas","DTR_006424","Endospore appendages","IMG/M",9128,102,1,0,0,12,"Aquatic","Marine","Neritic zone","NULL",3,"viral","endospore appendages","Unknown","Prokaryotic","Structural Protein"
197,"PF09113","N-glycanase_C","DTR_863359","Peptide-N-glycosidase F, C terminal","HGM",17211,59,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
198,"PF09113","N-glycanase_C","DTR_863359","Peptide-N-glycosidase F, C terminal","HGM",17211,59,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
199,"PF09113","N-glycanase_C","DTR_487915","Peptide-N-glycosidase F, C terminal","CIBIO",17287,141,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
200,"PF09113","N-glycanase_C","DTR_487915","Peptide-N-glycosidase F, C terminal","CIBIO",17287,141,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
201,"PF09113","N-glycanase_C","DTR_777926","Peptide-N-glycosidase F, C terminal","HGM",17189,37,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
202,"PF09113","N-glycanase_C","DTR_777926","Peptide-N-glycosidase F, C terminal","HGM",17189,37,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
203,"PF18573","BclA_C","DTR_065954","BclA C-terminal domain","IMG/M",11841,123,3,0,0,17,"Aquatic","Marine","Oceanic","NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
204,"PF18099","CBM_35_2","DTR_259669","Carbohydrate binding module (family 35)","IMG/M",7900,127,1,0,0,10,"Aquatic","Non-marine saline","Saline","NULL",3,"viral","carbohydrate binding module \(family 35\)","Unknown","Unknown","Binding Protein"
205,"PF18099","CBM_35_2","DTR_259669","Carbohydrate binding module (family 35)","IMG/M",7900,127,1,0,0,10,"Aquatic","Non-marine saline","Saline","NULL",3,"viral","carbohydrate binding module \(family 35\)","Unknown","Unknown","Binding Protein"
206,"PF18099","CBM_35_2","DTR_259669","Carbohydrate binding module (family 35)","IMG/M",7900,127,1,0,0,10,"Aquatic","Non-marine saline","Saline","NULL",3,"viral","carbohydrate binding module \(family 35\)","Unknown","Unknown","Binding Protein"
207,"PF09113","N-glycanase_C","DTR_774713","Peptide-N-glycosidase F, C terminal","HGM",17201,49,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
208,"PF09113","N-glycanase_C","DTR_774713","Peptide-N-glycosidase F, C terminal","HGM",17201,49,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
209,"PF20510","HgmA_N","DTR_414007","Homogentisate 1,2-dioxygenase N-terminal","CIBIO",8492,30,3,1,0,10,"Host-Associated","Human","Gut","NULL",3,"viral","homogentisate 1,2 dioxygenase n terminal","Unknown","Prokaryotic","Enzyme"
210,"PF09206","ArabFuran-catal","DTR_172400","Alpha-L-arabinofuranosidase B, catalytic","IMG/M",12974,80,2,0,0,22,"Aquatic","Freshwater","Lake","NULL",3,"viral","alpha l arabinofuranosidase b, catalytic","Unknown","Varies (Prok/Euk)","Enzyme"
211,"PF09206","ArabFuran-catal","DTR_172400","Alpha-L-arabinofuranosidase B, catalytic","IMG/M",12974,80,2,0,0,22,"Aquatic","Freshwater","Lake","NULL",3,"viral","alpha l arabinofuranosidase b, catalytic","Unknown","Varies (Prok/Euk)","Enzyme"
212,"PF03678","Adeno_hexon_C","DTR_008904","Hexon, adenovirus major coat protein, C-terminal domain","IMG/M",14358,101,4,0,0,13,"Aquatic","Non-marine saline","Hypersaline","NULL",3,"viral","hexon, adenovirus major coat protein, c terminal domain","Viral","Viral","Capsid Protein"
213,"PF09113","N-glycanase_C","DTR_772378","Peptide-N-glycosidase F, C terminal","HGM",17220,68,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
214,"PF09113","N-glycanase_C","DTR_772378","Peptide-N-glycosidase F, C terminal","HGM",17220,68,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
215,"PF20510","HgmA_N","DTR_828561","Homogentisate 1,2-dioxygenase N-terminal","HGM",8423,30,3,1,0,10,"Host-Associated","Human","Gut","NULL",3,"viral","homogentisate 1,2 dioxygenase n terminal","Unknown","Prokaryotic","Enzyme"
216,"PF05899","Cupin_3","DTR_308737","EutQ-like cupin domain","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
217,"PF05899","Cupin_3","DTR_308737","EutQ-like cupin domain","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
218,"PF05899","Cupin_3","DTR_308737","EutQ-like cupin domain","IMG/M",15123,127,5,0,0,15,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
219,"PF20510","HgmA_N","DTR_409266","Homogentisate 1,2-dioxygenase N-terminal","CIBIO",8970,24,3,1,0,11,"Host-Associated","Human","Gut","NULL",3,"viral","homogentisate 1,2 dioxygenase n terminal","Unknown","Prokaryotic","Enzyme"
220,"PF18573","BclA_C","DTR_264533","BclA C-terminal domain","IMG/M",12636,127,3,0,0,20,"Aquatic","Marine","Inlet","NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
221,"PF18573","BclA_C","DTR_264533","BclA C-terminal domain","IMG/M",12636,127,3,0,0,20,"Aquatic","Marine","Inlet","NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
222,"PF09113","N-glycanase_C","DTR_455828","Peptide-N-glycosidase F, C terminal","CIBIO",17207,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
223,"PF09113","N-glycanase_C","DTR_455828","Peptide-N-glycosidase F, C terminal","CIBIO",17207,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
224,"PF09113","N-glycanase_C","DTR_814050","Peptide-N-glycosidase F, C terminal","HGM",17237,85,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
225,"PF09113","N-glycanase_C","DTR_814050","Peptide-N-glycosidase F, C terminal","HGM",17237,85,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
226,"PF09113","N-glycanase_C","DTR_854627","Peptide-N-glycosidase F, C terminal","HGM",17221,69,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
