Accession	Name	Description	Source Database
cd02227	Thermotoga maritima TM1112 and related proteins, cupin domain	"This family includes bacterial and plant proteins homologous to TM1112, a Thermotoga maritima protein of unknown function with a cupin beta barrel domain. TM1112 (also known as DUF861) is a subfamily of RmlC-like cupins with a conserved ""jelly roll-like"" beta-barrel fold; structures indicate that a monomer is the biologically-relevant form. [[cite:PUB00022301]]"	CDD
cd02231	Bradyrhizobium japonicum BLL6423 and related proteins, cupin domain	"This family includes bacterial and fungal proteins homologous to BLL6423, a Bradyrhizobium japonicum protein of unknown function; it includes a structure of an uncharacterized protein from Novosphingobium aromaticivorans. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00003929], [cite:PUB00016787], [cite:PUB00102372]]"	CDD
PF22405	Sulfolobus turreted icosahedral virus 1-like, major capsid protein	This entry represents a jelly-roll domain present in the major capsid protein from Sulfolobus turreted icosahedral virus 1. The structure of this domain is similar to major capsid protein structures of the  eukaryotic Paramecium bursaria Chlorella virus, and the bacteriophage PRD1, and shows a common fold with the mammalian adenovirus [[cite:PUB00039590],[cite:PUB00154247]].	PFAM
PF18099	Carbohydrate binding module (family 35)	This is a delta4,5-anhydrogalacturonic acid-specific carbohydrate-binding module family 35, which is found in several prokaryotic proteins. Its crystal structure shows a jelly roll/beta-sandwich fold with 2 antiparallel sheets made of 4 and 5 antiparallel beta-strands [[cite:PUB00054441]]. It is also found at the end of a family of putative glycosyl hydrolases.	PFAM
PF09101	Exotoxin A binding	Members of this family are found in Pseudomonas aeruginosa exotoxin A, and are responsible for binding of the toxin to the alpha-2-macroglobulin receptor, with subsequent internalisation into endosomes. The domain adopts a thirteen-strand antiparallel beta jelly roll topology, which belongs to the Concanavalin A-like lectins/glucanases fold superfamily [[cite:PUB00010690]].	PFAM
cd06989	Arabidopsis thaliana DRT102 and related proteins, cupin domain	"This family includes bacterial and eukaryotic proteins homologous to DNA-damage-repair/toleration protein DRT102 found in Arabidopsis thaliana. DRT102 may be involved in DNA repair from UV damage. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
IPR016828	Alpha-L-arabinofuranosidase	"Alpha-L-arabinofuranosidase hydrolyses the terminal non-reducing alpha-L-arabinofuranoside residues in alpha-L-arabinosides. The enzyme acts on alpha-L-arabinofuranosides, alpha-L-arabinans containing (1,3)-and/or (1,5)-linkages, arabinoxylans and arabinogalactans. Some beta-galactosidases ([ec:3.2.1.23]) and beta-D-fucosidases ([ec:3.2.1.38]) also hydrolyse alpha-L-arabinosides.



The enzyme is a hexamer and each monomer has two domains: a (β/α)8-barrel and a 12-stranded β sandwich with jelly-roll topology [[cite:PUB00030050]]. It has no apparent requirement for cofactors, and its activity is strongly inhibited by 1 mM Hg2+ [[cite:PUB00012951]]."	INTERPRO
PF09113	Peptide-N-glycosidase F, C terminal	Members of this family adopt an eight-stranded antiparallel beta jelly roll configuration, with the beta strands arranged into two sheets. They are similar in topology to many viral capsid proteins, as well as lectins and several glucanases. The domain allows the protein to bind sugars and catalyses the complete removal of N-linked oligosaccharide chains from glycoproteins [[cite:PUB00035451]].	PFAM
IPR015196	Peptide-N-glycosidase F, N-terminal	This domain adopts an eight-stranded antiparallel β jelly roll configuration, with the β strands arranged into two sheets. It is similar in topology to many viral capsid proteins, as well as lectins and several glucanases. This domain allows the protein to bind sugars and catalyses the complete removal of N-linked oligosaccharide chains from glycoproteins [[cite:PUB00035451]].	INTERPRO
IPR015197	Peptide-N-glycosidase F, C-terminal	This domain adopts an eight-stranded antiparallel β jelly roll configuration, with the β strands arranged into two sheets. It is similar in topology to many viral capsid proteins, as well as lectins and several glucanases. This domain allows the protein to bind sugars and catalyses the complete removal of N-linked oligosaccharide chains from glycoproteins [[cite:PUB00035451]].	INTERPRO
PF09112	Peptide-N-glycosidase F, N terminal	Members of this family adopt an eight-stranded antiparallel beta jelly roll configuration, with the beta strands arranged into two sheets. They are similar in topology to many viral capsid proteins, as well as lectins and several glucanases. The domain allows the protein to bind sugars and catalyses the complete removal of N-linked oligosaccharide chains from glycoproteins [[cite:PUB00035451]].	PFAM
SM01290	Peptide-N-glycosidase F, N terminal	Members of this family adopt an eight-stranded antiparallel beta jelly roll configuration, with the beta strands arranged into two sheets. They are similar in topology to many viral capsid proteins, as well as lectins and several glucanases. The domain allows the protein to bind sugars and catalyses the complete removal of N-linked oligosaccharide chains from glycoproteins [cite:PUB00035451].	SMART
IPR000888	dTDP-4-dehydrorhamnose 3,5-epimerase-like	"Deoxythymidine diphosphate (dTDP)-4-keto-6-deoxy-d-hexulose 3, 5-epimerase (RmlC, [ec:5.1.3.13]) is involved in the biosynthesis of dTDP-l-rhamnose, which is an essential component of the bacterial cell wall, converting dTDP-4-keto-6-deoxy-D-glucose to dTDP-4-keto-L-rhamnose.

The crystal structure of RmlC from Methanobacterium thermoautotrophicum was determined in the presence and absence of a substrate analogue. RmlC is a homodimer comprising a central jelly roll motif, which extends in two directions into longer β-sheets. Binding of dTDP is stabilised by ionic interactions to the phosphate group and by a combination of ionic and hydrophobic interactions with the base. The active site, which is located in the centre of the jelly roll, is formed by residues that are conserved in all known RmlC sequence homologues. The active site is lined with a number of charged residues and a number of residues with hydrogen-bonding potentials, which together comprise a potential network for substrate binding and catalysis. The active site is also lined with aromatic residues which provide favorable environments for the base moiety of dTDP and potentially for the sugar moiety of the substrate [[cite:PUB00007928]].

Also included in this family is the probable dTDP-4-oxo-2,6-dideoxy-D-glucose 3,5-epimerase from &lt;i&gt;Streptomyces antibioticus&lt;/i&gt; which is required for the biosynthesis of the aglycone antibiotic oleandomycin [[cite:PUB00089648]]."	INTERPRO
PF17994	Galactofuranosyltransferase 2 N-terminal	This is the N-terminal beta-barrel domain found in the polymerizing galactofuranosyltransferase GlfT2 (Rv3808c). This enzyme synthesizes the bulk of the galactan portion of the mycolyl-arabinogalactan complex, which is the largest component of the mycobacterial cell wall such as in Mycobacterium tuberculosis. The N-terminal domain contains two short helices preceding a 10-stranded beta-sandwich with jelly roll topology [[cite:PUB00061227]].	PFAM
IPR046456	Phosphomannose isomerase type I, C-terminal domain	This entry represents the C-terminal domain of Phosphomannose isomerase type I enzymes (also known as Mannose-6-phosphate isomerases), which are involved in the synthesis of the GDP-mannose and dolichol-phosphate-mannose required for a number of critical mannosyl transfer reactions. This domain contains antiparallel β-strands in an extended jelly roll topology with short loops connecting the strands [[cite:PUB00003929]].	INTERPRO
PF03633	Glycosyl hydrolase family 65, C-terminal domain	This family of glycosyl hydrolases contains vacuolar acid trehalase and maltose phosphorylase.Maltose phosphorylase (MP) is a dimeric enzyme that catalyses the conversion of maltose and inorganic phosphate into beta-D-glucose-1-phosphate and glucose.  The C-terminal domain forms a two layered jelly roll motif.  This domain is situated at the base of the catalytic domain, however its function remains unknown [[cite:PUB00008368]].	PFAM
PF23032	ELAPOR1-like, galactose-binding domain	This domain is found in Endosome/lysosome-associated apoptosis and autophagy regulator family member 2 from humans (ELAPOR1), which may protect cells from cell death by inducing cytosolic vacuolisation and up-regulating the autophagy pathway and may play a role in apoptosis and cell proliferation. It is predicted to form a beta sandwich with a jelly roll topology typical of a galactose binding domain (GBD).	PFAM
PF21507	Sputnik minor capsid protein V18/19	This entry includes Sputnik virus minor capsid proteins, such V19. Sputnik  is a dsDNA virus, referred to as a virophage, that is coassembled with Mimivirus in the host amoeba [[cite:PUB00151820]]. It is an icosahedral virus and its capsid contains a major protein (V20) and two minor proteins (V18/19). Proteins in this entry have a single jelly-roll structure [[cite:PUB00151820]].	PFAM
IPR054591	PL28 ulvan lyase	"This entry includes sequences from the PL28 family of ulvan lyases. These enzymes degrade ulvan next to either epimer of uronic acid. They adopt a β-sandwich structure with a jelly-roll topology containing a deep positively charged cleft that defines the substrate binding site [[cite:PUB00154170]].

This domain is found as standalone or in combination with other domains."	INTERPRO
cd02221	Thermotoga maritima TM1287 decarboxylase, cupin domain	"This family includes bacterial proteins homologous to TM1287 decarboxylase, a Thermotoga maritima manganese-containing cupin thought to catalyze the conversion of oxalate to formate and carbon dioxide, due to its similarity to oxalate decarboxylase (OXDC) from Bacillus subtilis. TM1287 shows a cupin fold with a conserved ""jelly roll-like"" beta-barrel fold and forms a homodimer. [[cite:PUB00029317], [cite:PUB00016787], [cite:PUB00102372]]"	CDD
IPR040492	Galactofuranosyltransferase GlfT2, N-terminal	This is the N-terminal β-barrel domain found in the polymerizing galactofuranosyltransferase GlfT2 (Rv3808c). This enzyme synthesizes the bulk of the galactan portion of the mycolyl-arabinogalactan complex, which is the largest component of the mycobacterial cell wall such as in Mycobacterium tuberculosis. The N-terminal domain contains two short helices preceding a 10-stranded β-sandwich with jelly roll topology [[cite:PUB00061227]].	INTERPRO
IPR054723	Alpha-mannosidase Ams1-like, N-terminal	This domain is found at the N-terminal of Alpha-mannosidase from Schizosaccharomyces pombe (Ams1) and its orthologues from eukaryotes including alpha-mannosidase 2C1 [[cite:PUB00129147]] from vertebrates and alpha-mannosidase G from Dictyostelium discoideum. Ams1 hydrolyses terminal alpha-linked mannoses in free oligosaccharides released from misfolded glycoproteins or lipid-linked oligosaccharide donors. This entry represents the jelly-roll domain [[cite:PUB00153805]].	INTERPRO
PF23031	ELAPOR1-like, galactose binding domain	This domain is found in Endosome/lysosome-associated apoptosis and autophagy regulator family member 2 from humans (ELAPOR1), which may protect cells from cell death by inducing cytosolic vacuolisation and up-regulating the autophagy pathway and may play a role in apoptosis and cell proliferation. It is predicted to form a beta sandwich with a jelly roll topology typical of a galactose binding domain (GBD).	PFAM
IPR037164	Satellite virus coat domain superfamily	This entry represents a coat domain superfamily found in several satellite viruses, including satellite panicum mosaic virus [[cite:PUB00020147]], satellite tobacco mosaic virus [[cite:PUB00028081]], and satellite tobacco necrosis virus. The coat domain of satellite viruses consist of a β-sandwich jelly-roll fold, with usually eight strands making up the two sheets, although some members can have an extra 1-2 strands. The characteristic interaction between the domains of this fold allows the formation of five-fold and pseudo six-fold assemblies. Although the satellite virus coat proteins share the same jelly-roll fold, they differ in the arrangement of their secondary structural elements and in the interactions of adjacent subunits [[cite:PUB00007874]].	INTERPRO
PF16530	Infectious hypodermal and haematopoietic necrosis virus, capsid	IHHNV_capsid is the single capsid protein of infectious hypodermal and haematopoietic necrosis virus, found particularly in shrimp densovirus. Densoviruses are a subfamily of the parvoviruses.  The capsid protein has an eight-stranded anti-parallel beta-barrel 'jelly roll' motif similar to that found in many icosahedral viruses, including other parvoviruses. The N-terminal portion of the IHHNV coat protein adopts a 'domain-swappe' conformation relative to its twofold-related neighbour.  The loops connecting the strands of the structurally conserved jelly roll motif differ considerably in structure and length from those of other parvoviruses. IHHNV was first reported as a highly lethal disease of juvenile shrimp in 1983, and has only one type of capsid protein that lacks the phospholipase A2 activity that has been implicated as a requirement during parvoviral host cell infection. The structure of recombinant virus-like particles, composed of 60 copies of the 37.5-kDa coat protein is the smallest parvoviral capsid protein reported thus far. The small size of the PstDNV capsid protein makes the system attractive as a model for studying assembly mechanisms of icosahedral virus capsids [[cite:PUB00076301]].	PFAM
IPR047581	D-lyxose isomerase EcSI-like	This family represents sugar isomerases comprising group I of D-lyxose isomerases homologous to pathogenic Escherichia coli O157 z5688 (EcSI or Z5688) which has an active site highly similar to YdaE from the sigma B regulon of Bacillus subtilis [[cite:PUB00103833]]. Substrate screening has revealed that EcSI is capable of acting on D-lyxose (E.C:[ec:5.3.1.15]) and D-mannose (EC:[ec:5.3.1.7]). Studies show that overexpression of EcSI enables cell growth on D-lyxose as the sole carbon source. Proteins in this family belong to the cupin superfamily with a conserved 'jelly roll-like' double-stranded β-helix fold [[cite:PUB00055252], [cite:PUB00016787], [cite:PUB00103823]].	INTERPRO
IPR009794	Anabaena sensory rhodopsin transducer	This entry represents a family of proteins found in bacteria and some archaeal species, including the Anabaena sensory rhodopsin transducer (ASRT) and the hypothetical protein TM1070 from Thermotoga maritima. ASRT, likely to bind sugars or related metabolites, is comprised of a single globular domain with an eight-stranded β-sandwich fold with a well conserved tryptophan at the start of the first strand and a nearly absolutely conserved asparagine located at the end of the second β-strand that is involved in stabilising the characteristic tight turn between strands 2 and 3 of the structure [[cite:PUB00100872], [cite:PUB00041719], [cite:PUB00100873]]. TM1070 has a β-sandwich structure with a jelly-roll fold.	INTERPRO
cd02210	Bradyrhizobium japonicum BLR2406 and related proteins, cupin domain	"This family includes bacterial and fungal proteins homologous to BLR2406, a Bradyrhizobium japonicum protein of unknown function with a cupin beta barrel domain. Proteins in this subfamily appear to align closest to RmlC carbohydrate epimerase which is involved in dTDP-L-rhamnose production, and belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00005817], [cite:PUB00016787], [cite:PUB00102372]]"	CDD
cd06982	Pseudomonas aeruginosa BauB and related proteins, cupin domain	"This family includes bacterial proteins homologous to beta-alanine degradation protein BauB from Pseudomonas aeruginosa, which is involved in the degradation of beta-alanine. Also included are Rhodopseudomonas palustris Rpa4178 and Bordetella pertussis Bp2299, which are both proteins with unknown function. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
cd06976	AraC/XylS family transcriptional regulators similar to MtlR, N-terminal cupin domain	"MtlR is a Pseudomonas fluorescens protein that acts as a transcriptional regulator of the mannitol utilization genes.  It has an N-terminal cupin domain (represented by this alignment) and a C-terminal AraC/XylS family helix-turn-helix (HTH) DNA-binding domain. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold. [[cite:PUB00149156], [cite:PUB00016787], [cite:PUB00102372]]"	CDD
IPR046457	Phosphomannose isomerase type I, catalytic domain	This entry represents the catalytic domain of Phosphomannose isomerase type I enzymes (also known as Mannose-6-phosphate isomerases), which are involved in the synthesis of the GDP-mannose and dolichol-phosphate-mannose required for a number of critical mannosyl transfer reactions. This domain contains a zinc-binding site. It is composed of β-strands connected by long loops in a jelly roll conformation [[cite:PUB00003929]].	INTERPRO
IPR011622	7TM-DISM receptor, extracellular domain, type 2	"This entry represents one of two distinct types of extracellular domain found in the 7TM-DISM (7TM Receptors with Diverse Intracellular Signalling Modules) bacterial transmembrane proteins [[cite:PUB00015215]]. It is possible that this domain adopts a jelly roll fold and acts as a receptor for carbohydrates and their derivatives [[cite:PUB00015215]]. It can also recognise Ca(II) (Matilla et.al., FEMS Microbiology Reviews, fuab043, 45, 2021, 1.
https://doi.org/10.1093/femsre/fuab043)."	INTERPRO
IPR008456	Collagen binding domain	The domain fold is a jelly-roll, composed of two antiparallel β-sheets and two short α-helices [[cite:PUB00011300]]. A groove on β-sheet I exhibited the best surface complementarity to the collagen. This site partially overlaps with the peptide sequence previously shown to be critical for collagen binding. Recombinant proteins containing single amino acid mutations designed to disrupt the surface of the putative binding site exhibited significantly lower affinities for collagen.	INTERPRO
PF14683	Polysaccharide lyase family 4, domain III	CBM-like is domain III of rhamnogalacturonan lyase (RG-lyase). The full-length protein specifically recognises and cleaves alpha-1,4 glycosidic bonds between l-rhamnose and d-galacturonic acids in the backbone of rhamnogalacturonan-I, a major component of the plant cell wall polysaccharide, pectin. This domain possesses a jelly roll beta-sandwich fold structurally homologous to carbohydrate binding modules (CBMs), and it carries two sulfate ions and a hexa-coordinated calcium ion.	PFAM
PF20510	Homogentisate 1,2-dioxygenase N-terminal	Homogentisate dioxygenase cleaves the aromatic ring during the metabolic degradation of Phe and Tyr. Homogentisate dioxygenase deficiency causes alkaptonuria.  The structure of homogentisate dioxygenase shows that the enzyme forms a hexamer arrangement comprised of a dimer of trimers. The active site iron ion is coordinated near the interface between the trimers [[cite:PUB00009903]]. This entry represents the N-terminal domain which forms a jelly roll of beta-strands [[cite:PUB00009903]].	PFAM
PF17991	Thioredoxin like C-terminal domain	This is the C-terminal thioredoxin like domain found in Rv2874 in the pathogenic bacterium Mycobacterium tuberculosis [[cite:PUB00091401]]. Structure analysis of Rv2874-C shows the presence of a C-terminal domain formed by the 128 residues Thr568-Gly695. These residues form a jelly-roll structure in which two antiparallel beta-sheets sandwich a hydrophobic core. This domain is combined with a second domain with a carbohydrate-binding module (CBM) fold [[cite:PUB00091402]].	PFAM
PF21307	Glycoside hydrolase family 95, C-terminal domain	This domain is found in Alpha-fucosidase from Bifidobacterium bifidum (AfcA) and in other members of the glycoside hydrolase family 95 from bacteria and plants. AfcA hydrolyses the glycosidic linkage of Fuc1-2Gal via an inverting mechanism. This entry represents the C-terminal beta domain present within the catalytic region of this protein. The domain forms a two- layered jelly roll fold. Its specific function remains unknown [[cite:PUB00040386],[cite:PUB00151755]].	PFAM
cd07001	AraC/XylS family transcriptional regulators similar to Bacillus subtilis YbfI, N-terminal cupin domain	"This family contains bacterial proteins containing an AraC/XylS family helix-turn-helix (HTH) DNA-binding domain C-terminal to a cupin domain, and may be possible transcriptional regulators, including YbfI, an uncharacterized Bacillus subtilis. In Pseudomonas putida, this protein is thought to regulate the expression of phenylserine aldolase. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00149998]]"	CDD
cd06996	AraC/XylS family transcriptional regulators similar to Listeria monocytogenes Lmo2851 protein, N-terminal cupin domain	"This family contains bacterial proteins containing an AraC/XylS family helix-turn-helix (HTH) DNA-binding domain C-terminal to a cupin domain, and may be possible transcriptional regulators. Included is Listeria monocytogenes Lmo2851 protein, whose function is unknown. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00144395], [cite:PUB00053949], [cite:PUB00144396], [cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
PF22223	ATR1 N-terminal domain	Host-adapted plant pathogens secrete numerous effectors into the host extracellular spaces or inside cells. The A. thaliana TNL receptor RPP1 confers strain-specific immunity through recognition of H.arabidopsidis effector ATR1. ATR1 consists of two alpha-helical domains that are involved in interactions with the receptor. The ATR1 N-terminal domain interacts with both, the C-terminal jelly roll/Ig-like domain (C-JID) and the LRRs of the RPP1 receptor [[cite:PUB00098642]].	PFAM
IPR048958	Polysaccharide lyase 14	This protein family includes Alginate lyase from the mollusc Aplysia kurodai (AkAly30) and similar proteins from all cellular organisms. AkAly30 degrades alginate by cleaving the glycosidic bond through a β-elimination reaction. This enzyme adopts a β-jelly roll fold comprising two antiparallel β-sheets. Some β strands of the first sheet twist to form an electropositive-rich cavity where the substrates are believed to be located [[cite:PUB00054449], [cite:PUB00152074], [cite:PUB00152075]].	INTERPRO
PF07696	7TMR-DISM extracellular 2	This entry represents one of two distinct types of extracellular domain found in the 7TM-DISM (7TM Receptors with Diverse Intracellular Signalling Modules) bacterial transmembrane proteins [[cite:PUB00015215]]. It is possible that this domain adopts a jelly roll fold and acts as a receptor for carbohydrates and their derivatives [[cite:PUB00015215]]. It can also recognise Ca(II) (Matilla et. al., FEMS Microbiology Reviews, fuab043, 45, 2021, 1. https://doi.org/10.1093/femsre/fuab043).	PFAM
PF05737	Collagen binding domain	The domain fold is a jelly-roll, composed of two antiparallel beta-sheets and two short alpha-helices [[cite:PUB00011300]]. A groove on beta-sheet I exhibited the best surface complementarity to the collagen. This site partially overlaps with the peptide sequence previously shown to be critical for collagen binding. Recombinant proteins containing single amino acid mutations designed to disrupt the surface of the putative binding site exhibited significantly lower affinities for collagen.	PFAM
IPR008181	Deoxyuridine triphosphate nucleotidohydrolase	"The essential enzyme dUTP pyrophosphatase ([ec:3.6.1.23], dUTPase) is specific for dUTP and is critical for the fidelity of DNA replication and repair. dUTPase hydrolyzes dUTP to dUMP and pyrophosphate, simultaneously reducing dUTP levels and providing the dUMP for dTTP biosynthesis. dUTPase decreases the intracellular concentration of dUPT so that uracil cannot be incorporated into DNA [[cite:PUB00005269]].

The crystal structure of human dUTPase reveals that each subunit of the dUTPase trimer folds into an eight-stranded jelly-roll β-barrel, with the C-terminal β-strands interchanged among the subunits. The structure is similar to that of the Escherichia coli enzyme, despite low sequence homology between the two enzymes [[cite:PUB00005269]]."	INTERPRO
IPR041017	DipZ, thioredoxin-like C-terminal domain	This is the C-terminal thioredoxin like domain found in DipZ/Rv2874 in the pathogenic bacterium Mycobacterium tuberculosis [[cite:PUB00091401]]. Structure analysis of Rv2874-C shows the presence of a C-terminal domain formed by the 128 residues Thr568-Gly695. These residues form a jelly-roll structure in which two antiparallel β-sheets sandwich a hydrophobic core. This domain is combined with a second domain with a carbohydrate-binding module (CBM) fold [[cite:PUB00091402]].	INTERPRO
cd06995	AraC/XylS family transcriptional regulators similar to Escherichia coli YkgD, N-terminal cupin domain	"This family contains mostly bacterial proteins containing an AraC/XylS family helix-turn-helix (HTH) DNA-binding domain C-terminal to a cupin domain, and may be possible transcriptional regulators. Included in this family is YkgD, an uncharacterized Escherichia coli protein thought to be a transcriptional regulator. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
IPR029411	Rhamnogalacturonan lyase, domain III	This is domain III of rhamnogalacturonan lyase (RG-lyase). The full-length protein specifically recognises and cleaves alpha-1,4 glycosidic bonds between l-rhamnose and d-galacturonic acids in the backbone of rhamnogalacturonan-I, a major component of the plant cell wall polysaccharide, pectin. This domain possesses a jelly roll β-sandwich fold structurally homologous to carbohydrate binding modules (CBMs), and it carries two sulfate ions and a hexa-coordinated calcium ion [[cite:PUB00027701]].	INTERPRO
IPR049053	Alpha fucosidase A-like, C-terminal domain	This domain is found in Alpha-fucosidase (AFCA) from Bifidobacterium bifidum and in other members of the glycoside hydrolase family 95 from fungi, plants and bacteria. AFCA hydrolyses the glycosidic linkage of Fuc1-2Gal via an inverting mechanism. This entry represents the C-terminal β-sandwich domain that is next to the the catalytic region of this protein. The domain forms a two-layered jelly-roll fold. Its specific function remains unknown [[cite:PUB00040386], [cite:PUB00151755]].	INTERPRO
PF05603	Hikeshi-like, N-terminal domain	This domain is found at the N-terminal end of Protein Hikeshi from humans and its orthologues OPI10 from other eukaryotes. Hikeshi is an specific nuclear import carrier for HSP70 proteins following heat-shock stress, which is required to protect cells from heat- shock damages. The N-terminal domain shows a jelly-roll/beta- sandwich fold with two layers of beta-sheets consisting of three and five and five antiparallel beta-strands [[cite:PUB00101203]].	PFAM
IPR036698	TM1070-like superfamily	This superfamily consists of several hypothetical bacterial proteins of around 125 resides in length, including the hypothetical protein TM1070 from Thermotoga maritima, which has a β-sandwich structure with a jelly-roll fold. The function of these proteins is unknown.	INTERPRO
IPR053992	ATR1, N-terminal domain	Host-adapted plant pathogens secrete numerous effectors into the host extracellular spaces or inside cells. The A. thaliana TNL receptor RPP1 confers strain-specific immunity through recognition of H.arabidopsidis effector ATR1. ATR1 consists of two α-helical domains that are involved in interactions with the receptor. The ATR1 N-terminal domain interacts with both, the C-terminal jelly roll/Ig-like domain (C-JID) and the LRRs of the RPP1 receptor [[cite:PUB00098642]]. This entry represents the N-terminal domain.	INTERPRO
IPR015176	Lyase, N-terminal	This entry represents a domain predominantly found in chondroitin ABC lyase I,  adopting a jelly-roll fold topology consisting of a two-layered bent β-sheet sandwich with one short α-helix. The convex β sheet is composed of five antiparallel strands, whilst the concave β-sheet contains five antiparallel β-strands with a loop between two consecutive strands folding back onto the concave surface. This domain is required for binding of the protein to long glycosaminoglycan chains [[cite:PUB00014313]].	INTERPRO
IPR041342	Carbohydrate binding module family 35	This entry represents carbohydrate-binding module family 35 [cazy:CBM35]. This domain is found in several prokaryotic proteins, including Cthe_3141 from Acetivibrio thermocellus 9 ([swissprot:A3DK57]). It has specificity for delta4,5-anhydrogalacturonic acid (d4,5-GalA), a signature molecule for plant cell wall degradation. Its crystal structure shows a jelly roll/β-sandwich fold with 2 antiparallel sheets made of 4 and 5 antiparallel β-strands [[cite:PUB00054441]]. It is also found at the end of a family of putative glycosyl hydrolases.	INTERPRO
PF09092	Lyase, N terminal	Members of this family are predominantly found in chondroitin ABC lyase I, and adopt a jelly-roll fold topology consisting of a two-layered bent beta-sheet sandwich with one short alpha-helix. The convex beta sheet is composed of five antiparallel strands, whilst the concave beta-sheet contains five antiparallel beta-strands with a loop between two consecutive strands folding back onto the concave surface. This domain is required for binding of the protein to long glycosaminoglycan chains [[cite:PUB00014313]].	PFAM
IPR015960	Mu1 membrane penetration protein, domain IV	"Mu1 is an outer capsid protein that acts as a reoviral penetration agent. Non-enveloped animal reoviruses must enter host cells by membrane penetration that does not involve membrane fusion, as they lack a viral membrane. Reoviruses are activated by proteolytic cleavage in the intestinal lumen, leading to infectious subviral particles. The core of the virus is coated by a layer of mu1 and sigma3 proteins. Proteases strip off sigma3 exposing mu1, which provides the membrane penetration machinery that perforates the membrane. In addition, N-terminal myristoylation of polypeptide Mu1 is required for site-specific cleavage to Mu1C in transfected cells [[cite:PUB00036074]]. Mu1 forms a trimer, where the three mu1 molecules are coiled around one another with a right-handed twist. The mu1 chain folds into four distinct domains: three intertwined, predominantly α helical domains and a jelly-roll β-sandwich [[cite:PUB00013280]].

This superfamily represents the jelly-roll β-sandwich domain."	INTERPRO
PS51759	Carbohydrate-binding module 15 (CBM15) domain profile	"Microbial plant cell wall hydrolases are often modular proteins comprising a
catalytic module linked via a highly flexible sequence to one or more
carbohydrate-binding modules (CBMs). CBMs bind to a range of plant structural
polysaccharides that include both crystalline cellulose and noncrystalline
beta-1,4-glucan, xylan, mannan, beta-1,3-glucan, and glucomannan. Their
primary function is to increase the catalytic efficiency of these enzymes
against their soluble substrates by bringing the catalytic module into
prolonged and intimate contact with its substrate. CBMs have been grouped into
approximately 30 families based on amino acid sequence similarities.

The family 15 CBM (CBM15) binds both soluble xylan and xylooligosaccharides.
The structure of the CBM15 domain forms a classic beta-jelly roll fold,
predominantly consisting of five major anti-parallel beta-strands on the two
faces. The CBM15 domain displays a single disulfide bond
linking the two beta-sheets that form the jelly roll. The CBM15 domain
contains a deep cleft that runs along the concave face of the beta-sheet which
forms the binding site for the target ligands [[cite:PUB00021702]][[cite:PUB00031882]].

Protein known to contain a CBM15 domain:

 - Pseudomonas  cellulosa  xylanase Xyn10C, comprised of a C-terminal xylanase
   GH10 catalytic  module  with an N-terminal carbohydrate-binding module that
   belongs to family 15 (CBM15).

The profile we developed covers the entire CBM15 domain."	PROFILE
IPR036475	Mitogen Ypm superfamily	Members of this family of Yersinia pseudotuberculosis mitogens adopt a sandwich structure consisting of nine strands in two β sheets, in a jelly-roll topology. As with other superantigens, they are able to excessively activate T cells by binding to the T cell receptor [[cite:PUB00029905]].	INTERPRO
IPR010424	Acetate kinase EutQ	The eut operon of Salmonella typhimurium encodes proteins involved in ethanolamine degradation and is essential during anoxic growth on ethanolamine and tetrathionate [[cite:PUB00009955], [cite:PUB00096913]]. EutQ is an acetate kinase necessary to drive flux through the pathway under physiological conditions, preventing a buildup of acetaldehyde. The ATP generated by EutQ may be used as a substrate for EutT, the ATP-dependent corrinoid adenosyltransferase, and for the EutA ethanolamine ammonia-lyase reactivase [[cite:PUB00096913]]. Proteins in this family belong to the cupin superfamily with a conserved jelly roll-like β-barrel fold capable of homodimerization. In contrast to the metal-binding catalytic cupins, the EutQ family does not possess the histidine residues that are responsible for metal coordination in the oxidoreductase and epimerase classes of cupins [[cite:PUB00063996]].	INTERPRO
